material_a,material_b,ground_truth,reason,critical_conflict,category
GME-BRG-16532,GME-B-91957627,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-PIP-26700,GME-B-55DE1B2E,NOT_EQUIVALENT,"Same category, critical attribute conflict",diameter,CAT-PIP
BUS-CFL-26733,BUS-B-E155E739,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-PPE-47238,AHM-B-1211ADB9,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
CPI-BRG-55285,CPI-B-1D5D0382,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-BRG
NEC-VLV-26546,NEC-B-52385022,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
CPI-BRG-44557,CPI-B-00C864D0,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
NEC-PIP-12584,NEC-B-23C78077,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
GME-VLV-51650,GME-B-6C403287,RELATED,"Same category/mfg, different size/specs",NONE,CAT-VLV
AHM-BRG-20707,AHM-B-BCD8D3B9,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-LUB-95383,BUS-B-5F401F11,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
BUS-INS-20763,BUS-B-03F2EAEB,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
NEC-CFL-20402,NEC-B-2ECB0A5A,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FST
NEC-GSK-69581,NEC-B-CD2F6498,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
BUS-PIP-12369,BUS-B-01114FEE,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
AHM-BRG-82387,AHM-B-382C5A9C,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-FST-50216,AHM-B-F2B2C1E8,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
GME-INS-50369,GME-B-16F59FAC,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
BUS-BRG-52990,BUS-B-067BF789,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
AHM-PIP-86052,AHM-B-FE243AF4,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
NEC-DUP-11963,NEC-B-B0DDE5A7,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
GME-DUP-32273,GME-B-270DF53C,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
CPI-GSK-96153,CPI-B-2AEE1FDA,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
GME-ELC-53020,GME-B-BBD8993D,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
NEC-GSK-18516,NEC-B-FEFF697E,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
CPI-FST-46120,CPI-B-DFE9BB30,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
GME-FLG-76427,GME-B-75410348,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
CPI-BRG-24810,CPI-B-5E28B0A6,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-CFL-50286,NEC-B-ABC4BC09,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-FLG-78656,AHM-B-AE537F33,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
GME-PIP-97514,GME-B-AB19292F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
GME-BRG-11841,GME-B-A6FBA49F,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-BRG
CPI-PMP-78981,CPI-B-C46E5914,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PMP
BUS-BRG-44211,BUS-B-D2C3817F,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
GME-PPE-47465,GME-B-DF1BC4F2,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
GME-ELC-15620,GME-B-F0E32429,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
NEC-DUP-88529,NEC-B-CC5465C9,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
CPI-PPE-59730,CPI-B-1D741A26,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
GME-GSK-59689,GME-B-783946B6,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
BUS-INS-13858,BUS-B-7C6C7668,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
BUS-PPE-34724,BUS-B-38F12F8F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
NEC-DUP-11878,NEC-B-FDBE5FB4,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PMP
GME-BRG-66929,GME-B-D26FDABB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-LUB-53684,GME-B-65531EA2,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
NEC-FLG-58062,NEC-B-86B4907B,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FLG
GME-FST-80692,GME-B-987FE069,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
CPI-BRG-83906,CPI-B-F3181614,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-BRG
AHM-ELC-42934,AHM-B-2DD29203,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
CPI-ELC-68517,CPI-B-4E6609ED,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
BUS-BRG-33213,BUS-B-4C80F79A,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-INS-52936,CPI-B-62EFB2F8,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
AHM-CBL-29895,AHM-B-C3F5FA8E,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
BUS-INS-34088,BUS-B-DBC135C7,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
NEC-VLV-42545,NEC-B-960ED23A,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
NEC-INS-94507,NEC-B-402B852D,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
GME-CFL-26117,GME-B-32C1629C,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PPE
GME-BRG-98129,GME-B-93B355C3,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-DUP-36336,BUS-B-2C9548E8,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
GME-DUP-65616,GME-B-118D4BAE,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PMP
BUS-CFL-51735,BUS-B-C14F684F,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FST
BUS-DUP-48355,BUS-B-EA9F2AF6,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
AHM-INS-67930,AHM-B-815C2358,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
BUS-GSK-24621,BUS-B-D8608B68,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
CPI-PIP-76732,CPI-B-EADD236D,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PIP
AHM-CFL-77031,AHM-B-6BE0EDF3,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-CFL-92026,AHM-B-C50A9FCC,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
CPI-LUB-74583,CPI-B-7A926C35,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
AHM-CFL-37582,AHM-B-6ADF32D9,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-MTR-49309,GME-B-37550E80,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
BUS-PPE-66011,BUS-B-593048C9,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
AHM-CBL-72484,AHM-B-4ED09942,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
GME-VLV-43185,GME-B-14229F23,RELATED,"Same category/mfg, different size/specs",NONE,CAT-VLV
NEC-DUP-75516,NEC-B-7A14F4DD,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
GME-BRG-25190,GME-B-906C71EB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-CFL-32341,GME-B-EC1DB68C,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
BUS-MTR-92924,BUS-B-2C060FEF,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
CPI-MTR-83356,CPI-B-12F4B88A,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-MTR
GME-FST-66314,GME-B-C8DC74DF,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
GME-DUP-79376,GME-B-0869CDA5,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
CPI-FLG-14666,CPI-B-BCF31D29,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
BUS-GSK-69296,BUS-B-BE152975,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
CPI-BRG-49252,CPI-B-04003C24,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-PMP-86109,NEC-B-F4C1B5F3,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PMP
CPI-MTR-74089,CPI-B-984BE974,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
NEC-FST-76433,NEC-B-BA4B56A1,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
BUS-BRG-88255,BUS-B-8DA0C0C2,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
NEC-CBL-30459,NEC-B-2CDB758F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
CPI-FLG-96167,CPI-B-F374C413,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
AHM-DUP-22646,AHM-B-6E2D8FA4,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
BUS-PIP-23995,BUS-B-2392499C,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
CPI-LUB-59705,CPI-B-0AAD9C64,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
GME-GSK-48874,GME-B-454A2D2B,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
BUS-BRG-78084,BUS-B-E8F5C7A4,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-VLV-52194,AHM-B-AA73AAC6,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
AHM-CBL-16522,AHM-B-A3B55A65,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-CBL
BUS-LUB-25109,BUS-B-F269EFE9,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
BUS-VLV-82782,BUS-B-B058352D,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
NEC-PMP-67398,NEC-B-D32FDC02,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PMP
NEC-CFL-80877,NEC-B-15B58554,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
AHM-FLG-69532,AHM-B-FAF41FDD,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FLG
BUS-DUP-58633,BUS-B-10251FBE,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PMP
NEC-CFL-87139,NEC-B-E118AB58,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
NEC-VLV-90037,NEC-B-99559A2E,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
AHM-BRG-71286,AHM-B-284A9BBB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-BRG-91814,AHM-B-7D72C29B,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-LUB-40204,GME-B-22D331A6,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
AHM-DUP-26761,AHM-B-5C778C31,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
NEC-INS-70977,NEC-B-2B03EE2D,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
BUS-FST-46002,BUS-B-9BA55C92,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
CPI-PPE-50944,CPI-B-4B9F9CFC,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PPE
GME-FST-82076,GME-B-DDF03F2A,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
CPI-PMP-93428,CPI-B-F3E04569,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
AHM-MTR-18325,AHM-B-011F57F6,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-MTR
NEC-BRG-19925,NEC-B-71DE2F83,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-CBL-64094,BUS-B-8DCD5AD4,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-CBL
NEC-ELC-55612,NEC-B-D01C885D,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
BUS-CFL-15684,BUS-B-200840A1,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-GSK-21417,AHM-B-DFB4D674,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-GSK
GME-CFL-63968,GME-B-DE58F511,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-FLG
CPI-BRG-82945,CPI-B-6B69D76F,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-FST-62629,GME-B-22D1D439,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
CPI-GSK-89405,CPI-B-ADC9E1A9,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
GME-PMP-65049,GME-B-32D307BC,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
NEC-CFL-91776,NEC-B-441F64ED,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-GSK
AHM-INS-44173,AHM-B-BEFCC966,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
GME-DUP-82651,GME-B-57768703,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
BUS-BRG-53133,BUS-B-863DEEB1,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
BUS-GSK-71022,BUS-B-9987579E,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
CPI-FST-58863,CPI-B-62BB812A,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
AHM-LUB-12247,AHM-B-9F19CD50,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
BUS-PMP-58253,BUS-B-9191E98F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PMP
BUS-BRG-94620,BUS-B-6431B0D2,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-PIP-14954,BUS-B-FA6E9805,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
NEC-DUP-91806,NEC-B-80D5DD21,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-VLV
BUS-CBL-20275,BUS-B-19C2BF50,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-CBL
AHM-MTR-65402,AHM-B-CB517F00,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-MTR
NEC-DUP-85237,NEC-B-06E9FEC7,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
NEC-MTR-14339,NEC-B-A65924C8,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
AHM-BRG-78627,AHM-B-673F2B4C,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-DUP-93906,AHM-B-7E43FB3B,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
AHM-DUP-75152,AHM-B-AB65362B,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
BUS-LUB-12920,BUS-B-65B6829F,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
GME-GSK-52752,GME-B-F043B062,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
GME-LUB-56960,GME-B-91B10BC8,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
CPI-ELC-78409,CPI-B-5D3D4E62,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-ELC
AHM-LUB-41401,AHM-B-304DC426,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
BUS-DUP-64476,BUS-B-30A16EB2,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
GME-BRG-19511,GME-B-F910352F,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
NEC-BRG-56770,NEC-B-A3A223E7,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-CFL-39497,CPI-B-4ADEEC6E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-FST-71819,CPI-B-C1A09497,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-FST
AHM-FLG-48251,AHM-B-A93AC536,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FLG
NEC-INS-34828,NEC-B-7AC65411,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
BUS-FST-34585,BUS-B-F0BE8BB4,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FST
AHM-GSK-21417,AHM-B-4B14F217,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-GSK
NEC-VLV-45092,NEC-B-FE2A08B1,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
BUS-ELC-64811,BUS-B-76CFAEE1,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
AHM-DUP-35793,AHM-B-90BF7A3B,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-GSK
CPI-DUP-74360,CPI-B-F7683156,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
NEC-BRG-32715,NEC-B-B51B3417,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-BRG-74887,CPI-B-5AAD0E1A,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-BRG-13724,AHM-B-66F89C4C,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-DUP-45821,BUS-B-7D71623E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-CBL-89275,BUS-B-091EE3CA,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-CBL
NEC-BRG-19260,NEC-B-EB684483,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-BRG-36740,AHM-B-6F53D556,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-BRG
NEC-CFL-74050,NEC-B-E8803637,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-FST-76614,CPI-B-EF779E32,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
GME-BRG-28507,GME-B-6FDDD79E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-BRG-67337,NEC-B-F9A57D0E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-INS-97277,AHM-B-865D1524,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-INS
BUS-BRG-65419,BUS-B-2299C852,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-BRG-34723,GME-B-FED78215,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-GSK-38974,BUS-B-A3C3C136,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-GSK
AHM-BRG-79570,AHM-B-FF125905,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-BRG-60150,GME-B-CDB4076C,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
CPI-GSK-91327,CPI-B-1FE69240,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-GSK
AHM-BRG-38374,AHM-B-27DDCBAF,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-LUB-57197,BUS-B-2A59E3D9,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
CPI-BRG-88997,CPI-B-BF326420,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-FLG-80890,GME-B-A891D6BB,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
BUS-ELC-71920,BUS-B-3EB4DB21,RELATED,"Same category/mfg, different size/specs",NONE,CAT-ELC
BUS-DUP-63524,BUS-B-63D63B79,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-ELC
GME-BRG-33583,GME-B-4256C708,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
NEC-DUP-65755,NEC-B-E3F86271,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-BRG-10669,AHM-B-D2647AB3,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-CBL-89275,BUS-B-EFD9D83C,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-CBL
BUS-PMP-60235,BUS-B-5EF68FC5,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PMP
CPI-LUB-38483,CPI-B-6FD15349,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
AHM-CBL-98197,AHM-B-DF198092,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
GME-GSK-10469,GME-B-D3CF589D,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-GSK
BUS-PMP-58456,BUS-B-D8C505B8,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PMP
GME-VLV-20646,GME-B-7FE613B3,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
BUS-DUP-99773,BUS-B-A01AF210,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
GME-BRG-88600,GME-B-A686B3F8,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-BRG-18880,CPI-B-9C4CCC04,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
NEC-PPE-95562,NEC-B-668CA39D,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
CPI-PPE-27867,CPI-B-EBB62D82,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
NEC-BRG-88539,NEC-B-A6941018,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-DUP-58411,AHM-B-4E205DFE,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
BUS-CBL-27348,BUS-B-C855EFC9,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
NEC-BRG-87000,NEC-B-F1771683,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
GME-PMP-50018,GME-B-EF24DD90,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PMP
GME-ELC-79942,GME-B-F14AFC27,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-ELC
